name,dates,base,base_primary,country,region,type,anno,anno_refit,service,length_ft,cabins,berths,wc,price_eur,original_price_eur,discount,deposit_eur,yacht_id
Elan 340 (Miri),13.06.2026 - 20.06.2026,"Sukošan / D-Marin Dalmacija Marina, Croazia","Sukošan / D-Marin Dalmacija Marina, Croazia",Croatia,Zadar,Barca a vela,2007,,Bareboat,33.0,2,5 (4+1),1,1040.0,,,1000.0,3119441350804548
Bavaria 32 (Elizabet),13.06.2026 - 20.06.2026,"Biograd / Marina Kornati, Croazia","Biograd / Marina Kornati, Croazia",Croatia,Zadar,Barca a vela,2005,,Bareboat,34.0,2,6 (4+2),1,1170.0,1500.0,"- 22,00 %",1000.0,562065190000101637
Bavaria 36 Cruiser (Petra M),13.06.2026 - 20.06.2026,"Zadar / Marina Zadar, Croazia","Zadar / Marina Zadar, Croazia",Croatia,Zadar,Barca a vela,2013,,Bareboat,37.0,3,8 (6+2),1,1326.0,1768.0,"- 25,00 %",2000.0,383492250000101222
Sun Odyssey 389 (DUST IN THE WIND),13.06.2026 - 20.06.2026,"Sukošan / D-Marin Dalmacija Marina, Croazia","Sukošan / D-Marin Dalmacija Marina, Croazia",Croatia,Zadar,Barca a vela,2017,,Bareboat,39.0,3,8 (6+2),1,1350.0,2250.0,"- 40,00 %",1500.0,7216156910000100185
Sun Odyssey 33i (NENA),13.06.2026 - 20.06.2026,"Sukošan / D-Marin Dalmacija Marina, Croazia","Sukošan / D-Marin Dalmacija Marina, Croazia",Croatia,Zadar,Barca a vela,2014,,Bareboat,33.0,2,6 (4+2),1,1365.0,1950.0,"- 30,00 %",1000.0,5382710303100185
Bavaria Cruiser 34 (Breeze),13.06.2026 - 20.06.2026,"Sukošan / D-Marin Dalmacija Marina, Croazia","Sukošan / D-Marin Dalmacija Marina, Croazia",Croatia,Zadar,Barca a vela,2017,,Bareboat,33.0,3,8,1,1386.0,2200.0,"- 37,00 %",1500.0,73935000374800109
Bavaria Cruiser 34 (Whirl),13.06.2026 - 20.06.2026,"Sukošan / D-Marin Dalmacija Marina, Croazia","Sukošan / D-Marin Dalmacija Marina, Croazia",Croatia,Zadar,Barca a vela,2017,,Bareboat,33.0,3,8,1,1386.0,2200.0,"- 37,00 %",1500.0,74494680374800109
Sun Odyssey 379 (Paloma),13.06.2026 - 20.06.2026,"Sukošan / D-Marin Dalmacija Marina, Croazia","Sukošan / D-Marin Dalmacija Marina, Croazia",Croatia,Zadar,Barca a vela,2015,,Bareboat,37.0,3,8 (6+2),1,1435.0,2050.0,"- 30,00 %",1500.0,7837700356800185
Bavaria 38 Cruiser ((1132 BG) (sails 2015)),13.06.2026 - 20.06.2026,"Biograd / Marina Kornati, Croazia","Biograd / Marina Kornati, Croazia",Croatia,Zadar,Barca a vela,2008,,Bareboat,40.0,3,8 (6+2),1,1435.0,2050.0,"- 30,00 %",1300.0,121622000000100079
Bavaria 38 Cruiser (ANA (new sails 2019)),13.06.2026 - 20.06.2026,"Biograd / Marina Kornati, Croazia","Biograd / Marina Kornati, Croazia",Croatia,Zadar,Barca a vela,2008,,Bareboat,40.0,3,8 (6+2),1,1435.0,2050.0,"- 30,00 %",1300.0,708370243600079
Bavaria Cruiser 34 (Baltazar),13.06.2026 - 20.06.2026,"Drage / Marina Drage, Croazia","Drage / Marina Drage, Croazia",Croatia,Zadar,Barca a vela,2020,,Bareboat,33.0,2,6 (4+2),1,1440.0,2400.0,"- 40,00 %",1500.0,3176841080000102111
Bavaria Cruiser 34 (Tintilinić),13.06.2026 - 20.06.2026,"Drage / Marina Drage, Croazia","Drage / Marina Drage, Croazia",Croatia,Zadar,Barca a vela,2017,,Bareboat,33.0,2,6 (4+2),1,1440.0,2400.0,"- 40,00 %",1500.0,3176863310000102111
Sun Odyssey 349 (Page),13.06.2026 - 20.06.2026,"Drage / Marina Drage, Croazia","Drage / Marina Drage, Croazia",Croatia,Zadar,Barca a vela,2019,,Bareboat,35.0,3,8 (6+2),1,1470.0,2450.0,"- 40,00 %",1500.0,1890611740000102111
Sun Odyssey 349 (Diddley),13.06.2026 - 20.06.2026,"Drage / Marina Drage, Croazia","Drage / Marina Drage, Croazia",Croatia,Zadar,Barca a vela,2019,,Bareboat,35.0,3,8 (6+2),1,1470.0,2450.0,"- 40,00 %",1500.0,1890604850000102111
Beneteau Flyer 550 (BEBA),13.06.2026 - 19.06.2026,"Zadar / Marina Zadar, Croazia","Zadar / Marina Zadar, Croazia",Croatia,Zadar,Barca a motore,2013,,Bareboat,17.0,0,0,0,1470.0,,,500.0,2272063160000101222
Sun Odyssey 349 (Elvis),13.06.2026 - 20.06.2026,"Drage / Marina Drage, Croazia","Drage / Marina Drage, Croazia",Croatia,Zadar,Barca a vela,2019,,Bareboat,35.0,3,8 (6+2),1,1470.0,2450.0,"- 40,00 %",1500.0,1890609310000102111
Elan 350 (Yankee),13.06.2026 - 20.06.2026,"Biograd / Marina Kornati, Croazia","Biograd / Marina Kornati, Croazia",Croatia,Zadar,Barca a vela,2012,,Bareboat,35.0,3,8 (6+2),1,1480.0,1850.0,"- 20,00 %",1300.0,2776666440000100079
Bavaria 37 (Viviana),13.06.2026 - 20.06.2026,"Zadar / Marina Zadar, Croazia","Zadar / Marina Zadar, Croazia",Croatia,Zadar,Barca a vela,2017,,Bareboat,37.0,3,7 (6+1),1,1497.0,1996.0,"- 25,00 %",2000.0,3727985190000101222
Bavaria Cruiser 37 (GITA),13.06.2026 - 20.06.2026,"Sukošan / D-Marin Dalmacija Marina, Croazia","Sukošan / D-Marin Dalmacija Marina, Croazia",Croatia,Zadar,Barca a vela,2016,,Bareboat,37.0,3,7 (6+1),1,1530.0,2550.0,"- 40,00 %",1500.0,11190180356800185
Elan 350 (Sierra),13.06.2026 - 20.06.2026,"Biograd / Marina Kornati, Croazia","Biograd / Marina Kornati, Croazia",Croatia,Zadar,Barca a vela,2012,,Bareboat,35.0,3,8 (6+2),1,1560.0,2000.0,"- 22,00 %",1800.0,10144901104701637
Zar 57 WD (no name),13.06.2026 - 19.06.2026,"Sukošan / Brodogradilište Filipi, Croazia","Sukošan / Brodogradilište Filipi, Croazia",Croatia,Zadar,Barca a motore,2014,,Bareboat,19.0,0,0,0,1568.0,,,1200.0,2936568350000103855
Dufour 360 Grand Large (Ivy),13.06.2026 - 20.06.2026,"Sukošan / D-Marin Dalmacija Marina, Croazia","Sukošan / D-Marin Dalmacija Marina, Croazia",Croatia,Zadar,Barca a vela,2018,,Bareboat,34.0,3,8,1,1575.0,2500.0,"- 37,00 %",1500.0,78391000374800109
Dufour 360 Grand Large (Jade),13.06.2026 - 20.06.2026,"Sukošan / D-Marin Dalmacija Marina, Croazia","Sukošan / D-Marin Dalmacija Marina, Croazia",Croatia,Zadar,Barca a vela,2018,,Bareboat,34.0,3,8,1,1575.0,2500.0,"- 37,00 %",1500.0,78390210374800109
